Istasyon_No,Istasyon_Adi,YIL,AY,value,Enlem,Boylam,Rakim,var
17250,NIGDE,1981,3,-2.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1981,4,-6.1,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1981,5,-0.3,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1981,6,7.2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1981,7,11.7,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1981,8,8.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1981,9,7.1,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1981,10,2.5,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1981,11,-8.4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1981,12,-6.2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1982,1,-11.4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1982,2,-16.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1982,3,-13,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1982,4,-1.3,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1982,5,2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1982,6,6.1,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1982,7,7.1,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1982,8,9.3,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1982,9,7.1,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1982,10,-0.5,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1982,11,-7.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1982,12,-12,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1983,1,-21,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1983,2,-18.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1983,3,-14.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1983,4,-1.3,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1983,5,2.2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1983,6,7.2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1983,7,9.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1983,8,8.4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1983,9,2.5,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1983,10,0,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1983,11,-2.1,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1983,12,-8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1984,1,-10,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1984,2,-6.3,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1984,3,-5.7,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1984,4,-1.4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1984,5,2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1984,6,6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1984,7,10.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1984,8,6.9,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1984,9,6.7,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1984,10,-3.5,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1984,11,-5.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1984,12,-15.5,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1985,1,-8.5,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1985,2,-24.2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1985,3,-23.9,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1985,4,0.3,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1985,5,1.2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1985,6,7.5,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1985,7,8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1985,8,11.2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1985,9,5.4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1985,10,-1,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1985,11,-0.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1985,12,-12.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1986,1,-10.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1986,2,-9.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1986,3,-6.3,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1986,4,1,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1986,5,0.4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1986,6,8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1986,7,9.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1986,8,12.4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1986,9,6.7,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1986,10,0.4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1986,11,-7,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1986,12,-10,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1987,1,-14.5,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1987,2,-8.7,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1987,3,-19.2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1987,4,-2.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1987,5,2.4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1987,6,5.9,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1987,7,9,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1987,8,7,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1987,9,2.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1987,10,-2.9,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1987,11,-9.7,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1987,12,-20.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1988,1,-13,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1988,2,-12.2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1988,3,-12.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1988,4,-0.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1988,5,2.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1988,6,7.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1988,7,12.2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1988,8,8.5,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1988,9,4.4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1988,10,0.4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1988,11,-14.7,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1988,12,-11,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1989,1,-13.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1989,2,-13.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1989,3,-5.3,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1989,4,2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1989,5,3.4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1989,6,7,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1989,7,11,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1989,8,12.2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1989,9,7,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1989,10,-0.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1989,11,-8.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1989,12,-14.2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1990,1,-20.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1990,2,-12,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1990,3,-7,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1990,4,-4.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1990,5,-0.3,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1990,6,4.7,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1990,7,11.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1990,8,10.7,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1990,9,4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1990,10,-0.2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1990,11,-5.4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1990,12,-11.2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
